mongo connection created with mongodb://mongo-0.mongo:27017,mongo-1.mongo:27017,mongo-2.mongo:27017/ycsb?w=1
[OVERALL], RunTime(ms), 1680
[OVERALL], Throughput(ops/sec), 595.2380952380952
[TOTAL_GCS_Copy], Count, 0
[TOTAL_GC_TIME_Copy], Time(ms), 0
[TOTAL_GC_TIME_%_Copy], Time(%), 0.0
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 0
[TOTAL_GC_TIME], Time(ms), 0
[TOTAL_GC_TIME_%], Time(%), 0.0
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 1224.0
[CLEANUP], MinLatency(us), 1224
[CLEANUP], MaxLatency(us), 1224
[CLEANUP], 95thPercentileLatency(us), 1224
[CLEANUP], 99thPercentileLatency(us), 1224
[INSERT], Operations, 1000
[INSERT], AverageLatency(us), 1577.54
[INSERT], MinLatency(us), 806
[INSERT], MaxLatency(us), 136191
[INSERT], 95thPercentileLatency(us), 2083
[INSERT], 99thPercentileLatency(us), 2775
[INSERT], Return=OK, 1000
